Title,Release Year,Rating,Genre,Streaming Platform,Runtime,Age Rating,Country,Content Category,URL
Jawan  (2023),2023,7.0,"Action & Adventure, Mystery & Thriller, Drama","Apple TV, Netflix, Google Play Movies, YouTube, Apple TV, Apple TV, Google Play Movies, YouTube",2h 49min,UA,India,Movie,https://www.justwatch.com/in/movie/jawan
The Beekeeper  (2024),2024,6.4,"Drama, Action & Adventure, Mystery & Thriller",Lionsgate Play,1h 45min,NaN,"United Kingdom, United States",Movie,https://www.justwatch.com/in/movie/the-beekeeper-2024
Crakk: Jeetega... Toh Jiyegaa  (2024),2024,6.4,"Action & Adventure, Mystery & Thriller, Sport",Bookmyshow,2h 34min,NaN,India,Movie,https://www.justwatch.com/in/movie/crakk-jeetegaa-toh-jiyegaa
365 Days  (2020),2020,3.3,"Drama, Romance, Made in Europe",Netflix,1h 54min,NaN,Poland,Movie,https://www.justwatch.com/in/movie/365-days
Aattam  (2024),2024,8.4,Drama,Amazon Prime Video,2h 19min,UA,India,Movie,https://www.justwatch.com/in/movie/aattam
The Zone of Interest  (2023),2023,7.5,"Drama, War & Military, History",Bookmyshow,1h 45min,UA,"Poland, United Kingdom, United States",Movie,https://www.justwatch.com/in/movie/the-zone-of-interest
Singapore Saloon  (2024),2024,6.2,"Kids & Family, Comedy, Drama",Amazon Prime Video,2h 17min,UA,India,Movie,https://www.justwatch.com/in/movie/singapore-saloon
Murder Mubarak  (2024),2024,6.8,"Mystery & Thriller, Comedy, Horror, Romance",Netflix,2h 22min,NaN,India,Movie,https://www.justwatch.com/in/movie/murder-mubarak
Premalu  (2024),2024,8.3,"Comedy, Romance",Bookmyshow,2h 36min,U,India,Movie,https://www.justwatch.com/in/movie/premalu
Sound of Freedom  (2023),2023,7.7,"Drama, Action & Adventure, Crime, History, Mystery & Thriller",Amazon Prime Video,2h 11min,NaN,United States,Movie,https://www.justwatch.com/in/movie/sound-of-freedom
Harry Potter and the Philosopher's Stone  (2001),2001,7.6,"Fantasy, Kids & Family","Apple TV, Jio Cinema, Amazon Video, Apple TV, Google Play Movies, YouTube, Tata Play, Apple TV, Google Play Movies, YouTube",2h 33min,U,"United Kingdom, United States",Movie,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
BlackBerry  (2023),2023,7.4,"Drama, History, Comedy","Apple TV, Amazon Prime Video, Amazon Video, Apple TV, Apple TV",2h 0min,NaN,Canada,Movie,https://www.justwatch.com/in/movie/blackberry
Vadakkupatti Ramasamy  (2024),2024,6.4,"Comedy, Drama, Fantasy, Science-Fiction","Amazon Prime Video, aha",2h 24min,U,India,Movie,https://www.justwatch.com/in/movie/vadakkupatti-ramasamy
Junior  (2023),2023,7.7,Action & Adventure,Amazon Prime Video,2h 2min,NaN,India,Movie,https://www.justwatch.com/in/movie/junior-2023
